"bit_f32_jan_control_boiler_on_bit",p_455,Simple
"bit_f32_jan_control_boiler_on_sdk",p_454,Simple
"degrees_f32_desired_temp",p_8,Simple
"degrees_f32_heating_curve_high",p_370,Simple
"degrees_f32_heating_curve_low",p_370,Simple
"degrees_f32_heating_start_ambient_temp",p_341,Simple
"degrees_f32_jan_control_max_temp",p_439,Simple
"degrees_f32_jan_control_min_temp",p_440,Simple
"degrees_f32_outside_temp",p_22,Simple
"degrees_f32_return_temp",p_328,Simple
"degrees_f32_room_temp",p_9,Simple
"degrees_f32_set_temp_heating_curve",p_3,Simple
"degrees_f32_set_water_temp",p_367*math::abs(p_363 - 1)+p_3*p_363,Combined
"degrees_f32_set_water_temp_cooling",p_367,Simple
"degrees_f32_set_water_temp_heating",p_593,Simple
"degrees_f32_supply_temp",p_290,Simple
"enum_f32_heating_curve_preset",p_370,Simple
"enum_f32_heating_mode",p_363,Simple
"kwh_f32_thermal_power",((p_373/60)*4.186*(p_290-p_328))*(5.0/60.0),Combined
"kwh_f32_electric_power",(((p_332/100)*p_331)/1000)*(5.0/60.0),Combined
"percent_f32_cop","max(0.0, ((p_373/60)*4.186*(p_290-p_328))/(((p_332/100)*p_331)/1000))",Combined
"hz_f32_compressor_frequency",p_325,Simple
"hz_f32_fan_frequency",p_372,Simple
"kwh_f32_power_delivered","m = p_373 * 0.98; y = p_328 - p_290; math::abs(m * 4.187 * y * 1/60)",Combined
"kwh_f32_power_used",math::abs(p_327*p_326/1000),Combined
"lmin_f32_water_flow",p_373,Simple
"onoff_f32_custom_heating_curve",p_418,Simple
"onoff_f32_power_on",p_357,Simple
"sec_f32_jan_control_interval",p_441,Simple
"x_f32_jan_control_Kd",p_822",Simple
"x_f32_jan_control_Ki",p_820",Simple
"x_f32_jan_control_Kp",p_821",Simple
"x_f32_jan_control_output_to_device",p_442,Simple
"x_f32_jan_control_output_to_sdk",p_437,Simple
